Month/Mois,Year/Année,Live Births/Naissances vivantes,Marriages/Mariages,Deaths/Dècés,Stillbirths/Mortinaissances
January/janvier,1994,11631,2078,8094,75
February/février,1994,11254,2650,6428,62
March/mars,1994,13003,2557,6503,73
April/avril,1994,12576,3967,6224,74
May/mai,1994,13240,6493,6483,67
June/juin,1994,13072,7754,6187,66
July/juillet,1994,13045,9264,6196,70
August/août,1994,12982,9194,5926,79
September/septembre,1994,12416,8540,6062,60
October/octobre,1994,11845,7400,6515,59
November/novembre,1994,11547,3313,6247,56
December/décembre,1994,11495,3464,6931,43
January/janvier,1995,11611,2007,6946,78
February/février,1995,11102,2579,6744,84
March/mars,1995,12967,2737,7278,75
April/avril,1995,12490,3666,6702,87
May/mai,1995,13398,6563,6690,112
June/juin,1995,13143,8073,6179,76
July/juillet,1995,13030,8918,6337,60
August/août,1995,12863,9412,6081,100
September/septembre,1995,12450,9983,6060,78
October/octobre,1995,12044,6475,6391,89
November/novembre,1995,11060,3473,6403,70
December/décembre,1995,10848,3635,6918,75
January/janvier,1996,11487,1980,7151,94
February/février,1996,11060,2713,6524,74
March/mars,1996,12189,2522,6933,72
April/avril,1996,12049,3179,6476,77
May/mai,1996,12668,6284,6534,94
June/juin,1996,12137,9238,6079,70
July/juillet,1996,12469,7638,6231,73
August/août,1996,12300,10709,6238,76
September/septembre,1996,11898,8640,6039,53
October/octobre,1996,11553,6574,6927,64
November/novembre,1996,10329,3559,6556,52
December/décembre,1996,10752,3135,7593,58
January/janvier,1997,10740,1823,8084,102
February/février,1997,10062,2664,6518,64
March/mars,1997,11552,2367,7001,62
April/avril,1997,11907,3192,6544,84
May/mai,1997,12131,7075,6620,82
June/juin,1997,11459,7843,6349,67
July/juillet,1997,11934,7726,6209,75
August/août,1997,11279,10721,6088,62
September/septembre,1997,11036,8076,6086,57
October/octobre,1997,11019,6487,6792,68
November/novembre,1997,10113,3375,6535,45
December/décembre,1997,10471,2892,6937,19
January/janvier,1998,10894,1838,7239,66
February/février,1998,10695,2875,7551,63
March/mars,1998,12095,2193,7745,87
April/avril,1998,12159,2938,6431,78
May/mai,1998,12515,6692,6516,85
June/juin,1998,11817,7736,6185,61
July/juillet,1998,12332,8065,6141,70
August/août,1998,11700,10801,6197,54
September/septembre,1998,11920,8197,6064,68
October/octobre,1998,11230,7105,6588,80
November/novembre,1998,10211,3125,6744,74
December/décembre,1998,10663,2990,6986,68
January/janvier,1999,10706,1991,7794,69
February/février,1999,10299,2364,7087,76
March/mars,1999,11711,2374,7695,75
April/avril,1999,11261,3107,6457,58
May/mai,1999,11922,6774,6617,72
June/juin,1999,12039,7488,6087,75
July/juillet,1999,12261,9519,6296,64
August/août,1999,11621,9959,6289,61
September/septembre,1999,11754,8589,6224,77
October/octobre,1999,10984,7757,6666,77
November/novembre,1999,10248,3270,6585,63
December/décembre,1999,10719,2943,7786,77
January/janvier,2000,10999,1912,8537,85
February/février,2000,10629,2607,6672,77
March/mars,2000,11783,2388,6978,60
April/avril,2000,11194,3358,6433,70
May/mai,2000,12088,6284,6605,75
June/juin,2000,11660,7669,6276,66
July/juillet,2000,11713,9080,6515,55
August/août,2000,11290,9455,6174,78
September/septembre,2000,10870,10130,6302,74
October/octobre,2000,10436,6402,6856,60
November/novembre,2000,10161,3099,6783,72
December/décembre,2000,10020,3056,7395,48
January/janvier,2001,10838,1826,7456,72
February/février,2001,10355,2251,6589,75
March/mars,2001,11751,2600,7268,52
April/avril,2001,11680,3037,6708,68
May/mai,2001,12344,5634,6761,86
June/juin,2001,11765,8317,6547,73
July/juillet,2001,12095,8130,6552,82
August/août,2001,11946,9450,6606,79
September/septembre,2001,11869,9304,6331,60
October/octobre,2001,11697,6059,6978,79
November/novembre,2001,10676,2993,6619,70
December/décembre,2001,10632,2983,7052,53
January/janvier,2002,10908,1722,7301,79
February/février,2002,10059,2396,6538,77
March/mars,2002,11186,2391,7465,69
April/avril,2002,11214,2730,6687,86
May/mai,2002,11653,5287,6762,69
June/juin,2002,11247,8451,6330,68
July/juillet,2002,11870,7473,6754,82
August/août,2002,11945,10628,6547,67
September/septembre,2002,11909,8100,6391,62
October/octobre,2002,11576,6321,6947,55
November/novembre,2002,10910,3249,7114,57
December/décembre,2002,10601,2898,7589,59
January/janvier,2003,10714,1825,7858,58
February/février,2003,10103,2417,6765,46
March/mars,2003,11450,2391,7434,47
April/avril,2003,11256,2672,6853,39
May/mai,2003,11982,6224,6791,24
June/juin,2003,11602,7637,6565,8
July/juillet,2003,12481,8038,6705,0
August/août,2003,11990,11083,6598,2
September/septembre,2003,12247,8315,6468,2
October/octobre,2003,11773,6687,7186,2
November/novembre,2003,10995,3390,7075,0
December/décembre,2003,11129,2803,8126,0
January/janvier,2004,11189,1953,8067,79
February/février,2004,10737,2638,6959,81
March/mars,2004,11915,2147,7177,86
April/avril,2004,11781,2801,6877,74
May/mai,2004,11902,6042,6655,78
June/juin,2004,11821,7226,6501,66
July/juillet,2004,12147,9240,6539,81
August/août,2004,11992,9870,6518,67
September/septembre,2004,12129,7853,6450,67
October/octobre,2004,11717,7193,7224,65
November/novembre,2004,11223,2736,6849,44
December/décembre,2004,11195,2730,7558,52
January/janvier,2005,11330,1824,7905,70
February/février,2005,10300,2222,7281,77
March/mars,2005,12137,2034,8032,90
April/avril,2005,11852,3163,7220,86
May/mai,2005,12166,5268,7175,65
June/juin,2005,12257,7041,6685,73
July/juillet,2005,12714,9513,6745,95
August/août,2005,12471,9469,6756,75
September/septembre,2005,12514,8368,6502,76
October/octobre,2005,11936,7119,7078,100
November/novembre,2005,11050,2751,7031,73
December/décembre,2005,11102,2920,7401,75
January/janvier,2006,11148,1964,7449,77
February/février,2006,10426,2448,6732,64
March/mars,2006,11855,2354,7630,87
April/avril,2006,11260,3235,6953,79
May/mai,2006,12399,5188,7240,85
June/juin,2006,12023,7383,6524,111
July/juillet,2006,12409,8974,6613,88
August/août,2006,12874,9540,6872,99
September/septembre,2006,12641,9725,6677,96
October/octobre,2006,12274,6257,7400,111
November/novembre,2006,11392,2835,7089,96
December/décembre,2006,11339,3029,7719,75
January/janvier,2007,11336,1937,8230,96
February/février,2007,10607,2310,7550,87
March/mars,2007,11969,2453,7834,81
April/avril,2007,11814,2872,7220,86
May/mai,2007,12292,4979,7119,95
June/juin,2007,12440,7714,6822,115
July/juillet,2007,12781,9033,6987,102
August/août,2007,13011,9401,6544,106
September/septembre,2007,12576,8996,6717,98
October/octobre,2007,12416,5663,7234,103
November/novembre,2007,11795,2957,7350,118
December/décembre,2007,11668,2826,7981,91
January/janvier,2008,11855,1773,7762,118
February/février,2008,11260,2306,7405,97
March/mars,2008,11904,2255,7974,96
April/avril,2008,12158,2629,7732,106
May/mai,2008,12494,5624,7315,115
June/juin,2008,12231,7156,6756,87
July/juillet,2008,12901,7598,6945,99
August/août,2008,12502,11532,6851,103
September/septembre,2008,12962,7483,6714,98
October/octobre,2008,12504,6205,7546,98
November/novembre,2008,11496,3169,7395,99
December/décembre,2008,11364,2615,7878,90
January/janvier,2009,11485,1943,8389,116
February/février,2009,10766,2322,7189,88
March/mars,2009,12233,2136,7856,94
April/avril,2009,12105,2643,7310,104
May/mai,2009,12437,5449,7343,108
June/juin,2009,12486,6759,7136,93
July/juillet,2009,13195,7754,7002,94
August/août,2009,12723,10579,6817,89
September/septembre,2009,12845,7870,6790,100
October/octobre,2009,12497,6821,7634,97
November/novembre,2009,11331,2698,7388,85
December/décembre,2009,11241,2432,7823,93
January/janvier,2010,11605,1996,8059,105
February/février,2010,10533,2066,7135,85
March/mars,2010,12225,2002,7889,102
April/avril,2010,11789,2608,7256,94
May/mai,2010,12218,5237,7359,106
June/juin,2010,11991,6433,6699,84
July/juillet,2010,12130,8870,7096,104
August/août,2010,12514,9640,7186,91
September/septembre,2010,12566,7584,7220,82
October/octobre,2010,12539,7523,7850,77
November/novembre,2010,11438,2779,7457,81
December/décembre,2010,11602,2590,8347,71
January/janvier,2011,11563,1991,8614,89
February/février,2011,10612,2192,7548,91
March/mars,2011,11658,2164,8093,105
April/avril,2011,11487,2979,7543,96
May/mai,2011,12255,4773,7611,98
June/juin,2011,12349,6599,6920,91
July/juillet,2011,13019,8830,7157,118
August/août,2011,12673,8748,7050,117
September/septembre,2011,12412,8090,6963,120
October/octobre,2011,12127,6667,7621,114
November/novembre,2011,11694,3188,7464,98
December/décembre,2011,11325,2585,7708,108
January/janvier,2012,11683,2000,8127,132
February/février,2012,11139,2412,7386,119
March/mars,2012,11988,2373,7812,127
April/avril,2012,11580,2818,7498,126
May/mai,2012,12311,4761,7549,125
June/juin,2012,12084,7503,6915,138
July/juillet,2012,12638,7765,7132,95
August/août,2012,13104,9333,7365,134
September/septembre,2012,12473,8959,7086,102
October/octobre,2012,12571,5974,7788,87
November/novembre,2012,11640,2990,7658,105
December/décembre,2012,11444,3356,8773,98
January/janvier,2013,11820,1890,9423,127
February/février,2013,10666,2128,7662,107
March/mars,2013,11607,2260,8120,117
April/avril,2013,11260,2692,7678,108
May/mai,2013,12371,4707,7607,137
June/juin,2013,11854,7494,7130,109
July/juillet,2013,12752,7183,7498,118
August/août,2013,12703,9740,7215,119
September/septembre,2013,12306,7929,7194,126
October/octobre,2013,12251,5764,7806,127
November/novembre,2013,11343,3072,7815,93
December/décembre,2013,11332,2501,8543,92
January/janvier,2014,11675,1982,8940,124
February/février,2014,10613,2330,7671,117
March/mars,2014,11738,2348,8392,123
April/avril,2014,11295,2667,8137,114
May/mai,2014,12455,5538,8024,156
June/juin,2014,12147,7195,7422,123
July/juillet,2014,12892,7242,7346,117
August/août,2014,12685,10830,7659,122
September/septembre,2014,12357,7752,7578,118
October/octobre,2014,12120,6089,7977,123
November/novembre,2014,11224,3172,8254,126
December/décembre,2014,11177,2611,8822,91
January/janvier,2015,11555,2060,9831,121
February/février,2015,10557,2284,8449,112
March/mars,2015,11864,2176,8610,116
April/avril,2015,11521,2721,8177,146
May/mai,2015,12201,5679,7913,125
June/juin,2015,12152,6846,7336,101
July/juillet,2015,12830,7854,7647,137
August/août,2015,12469,11004,7679,137
September/septembre,2015,12496,8131,7430,121
October/octobre,2015,12080,6795,8349,122
November/novembre,2015,11288,2869,7907,106
December/décembre,2015,11084,2595,8306,126
January/janvier,2016,11272,2136,8751,123
February/février,2016,11088,2304,8317,119
March/mars,2016,11987,2104,8858,123
April/avril,2016,11711,3205,8332,99
May/mai,2016,12238,5083,8410,127
June/juin,2016,11864,6884,7492,122
July/juillet,2016,12757,8916,7691,91
August/août,2016,12863,9440,7982,116
September/septembre,2016,12630,8640,7816,101
October/octobre,2016,12111,7207,8650,123
November/novembre,2016,11213,3033,8421,121
December/décembre,2016,10947,2732,9046,114
January/janvier,2017,11550,2028,10044,127
February/février,2017,10743,2246,8696,125
March/mars,2017,11844,2387,9095,150
April/avril,2017,11665,3121,8182,99
May/mai,2017,12313,5054,8330,144
June/juin,2017,12264,7052,8008,132
July/juillet,2017,12646,8669,8101,117
August/août,2017,12828,9277,8277,118
September/septembre,2017,12538,9906,8239,148
October/octobre,2017,12215,6752,8658,128
November/novembre,2017,11618,3212,8811,139
December/décembre,2017,11399,2855,9594,100
January/janvier,2018,11673,2154,10844,120
February/février,2018,10563,2401,9234,106
March/mars,2018,11920,2639,9518,117
April/avril,2018,11313,3220,8878,128
May/mai,2018,12643,4787,8656,125
June/juin,2018,12085,7451,8257,131
July/juillet,2018,12794,7877,8324,118
August/août,2018,12719,10284,8348,131
September/septembre,2018,12253,9908,8299,124
October/octobre,2018,12218,6801,8897,122
November/novembre,2018,11429,3422,8963,116
December/décembre,2018,11076,3060,9373,100
January/janvier,2019,11618,2175,9968,131
February/février,2019,10448,2366,8827,110
March/mars,2019,11548,2786,9413,135
April/avril,2019,11651,3099,8850,112
May/mai,2019,12050,5046,8922,140
June/juin,2019,12066,7733,8286,119
July/juillet,2019,12878,7278,8522,127
August/août,2019,12963,9856,8494,147
September/septembre,2019,12379,8869,8329,100
October/octobre,2019,12241,6769,9198,126
November/novembre,2019,11357,3711,9341,122
December/décembre,2019,11185,2851,9715,100
January/janvier,2020,11526,2257,10161,129
February/février,2020,10638,3308,8938,124
March/mars,2020,11520,1828,9628,123
April/avril,2020,11410,597,11121,144
May/mai,2020,12149,1142,10108,135
June/juin,2020,11777,2108,8670,110
July/juillet,2020,12610,3559,8906,108
August/août,2020,12143,7056,8882,98
September/septembre,2020,11881,6641,8942,110
October/octobre,2020,11634,6757,9720,97
November/novembre,2020,10686,2793,9973,106
December/décembre,2020,10252,2550,10712,95
January/janvier,2021,10177,1314,11390,91
February/février,2021,10296,1460,9187,87
March/mars,2021,11993,1888,9354,89
April/avril,2021,11427,1829,9094,73
May/mai,2021,12092,2944,8901,89
June/juin,2021,12430,4322,7632,58
